ip_change,ip_frequency,ip_mismatch,browser_change,os_change,cookie_reuse,session_duration,session_idle_time,request_rate,request_variance,post_get_ratio,total_requests,page_depth,page_sequence_entropy,admin_page_attempt,direct_page_access,click_interval_avg,click_interval_std,night_activity_flag,label
0,1,0,0,0,0,793.4975498477278,86.3438871465752,5.653928404677682,50.05523671767873,0.17130597632023306,20,8,0.7436522362887563,0,0,7.450425962848634,3.6307228607537967,0,0
1,4,0,1,1,1,102.14913212902418,7.4132671353036095,23.64009225455982,3.518817241825338,0.518943622549022,105,1,0.21051409021982856,0,0,0.548714955539914,0.2631703707734572,1,1
0,1,0,0,0,0,742.6344730497224,106.27589842447489,3.828215417203827,21.056528125178644,0.20503319724608055,37,2,0.6907425060994637,0,0,6.857560903562843,4.037541841486822,0,0
0,1,0,0,0,0,299.3839396480364,117.08358630763107,9.345839309954487,42.90385299631559,0.13108523628693938,10,2,0.2732182965931092,0,0,6.74666060770466,4.942238151497362,0,0
0,2,0,0,0,0,518.6166031999439,136.74503150071112,8.874691030045918,16.186567447870964,0.10107502270666968,21,4,0.3430023263767982,0,0,1.72909130344053,3.8297417532040945,0,0
0,2,0,0,0,0,413.5774507087462,46.678747705790755,10.52451403944799,57.392407086786605,0.19022505279744795,19,5,0.6162833341804471,0,0,10.748249672589964,3.3489359980851274,0,0
0,2,0,0,0,0,829.507842718779,76.28870675913885,13.344610045901135,29.89387953037067,0.13242139606999365,38,9,0.7740322603336101,0,0,8.17576141262706,3.084075272737573,0,0
0,2,0,0,0,0,637.1377160837478,143.66451196345082,7.485629525080598,34.87028667053932,0.16758728634375153,16,6,0.4086934084598276,0,0,4.834731895469915,4.126267736234068,0,0
0,1,0,0,0,0,243.9085695986974,140.46231063045286,3.1061765132955053,41.9305388001399,0.17520505372404227,33,6,0.7358682447934837,0,0,10.37344013453759,4.984231442461949,0,0
0,2,0,0,0,0,420.3714244322925,70.88407803655188,5.939655698445316,26.702284022139175,0.005222115001104116,22,5,0.27827084596617085,0,0,7.744879081565403,4.475696032212599,0,0
1,3,1,1,1,1,87.59172428740831,1.3375270251633626,39.10198494476715,5.102614053614226,0.6290750716489869,36,4,0.037997539775478505,0,1,0.0,0.254608901012323,0,1
0,2,0,0,0,0,331.985585775213,145.93300144555525,5.955859294791278,69.35652048050409,0.19968911072652196,38,9,0.762488703439463,0,0,12.121743155634348,3.5331093830592,0,0
0,1,0,0,0,0,425.664384232623,175.93149385562307,7.290334138343162,72.71240294365889,0.09468532437941829,5,7,0.3143658998446699,0,0,5.491679012361199,2.1152136409837263,0,0
0,2,0,0,0,0,857.9513056750748,104.31600450269264,8.361499876367903,29.42651333741832,0.08609887082818118,25,4,0.4331348607622075,0,0,3.0687778532358267,3.3610382523104976,0,0
1,5,1,1,1,1,103.85125187943947,9.506395527721635,57.39633486287649,4.323945544867401,1.1333326518455047,111,4,0.11503885036430773,0,1,0.09910244404525775,0.09245932078861577,1,1
1,4,1,0,1,0,96.53642948736598,16.442168112516942,35.48587924774029,8.386542462648169,0.7532786078034269,94,2,0.12254621666468199,0,1,0.5605997032271963,0.17302602754249077,1,1
0,1,0,0,0,0,381.9529839628499,111.46509428161285,12.544143837483208,58.21349170839601,0.1616430305982288,18,5,0.33683709014001195,0,0,4.594686436352864,3.6066177022553427,0,0
